246.37,80.74,224.66,203.84,96.63,181.26,118.34,58.16
241.71,67.81,232.42,191.57,103.78,181.92,113.07,58.16
236.44,55.55,239.5,178.74,111.54,181.91,108.48,58.72
230.65,44.02,245.83,165.41,119.82,181.17,104.63,59.78
224.41,33.26,251.4,151.67,128.55,179.67,101.56,61.26
217.8,23.3,256.15,137.59,137.65,177.36,99.29,63.06
210.91,14.17,260.08,123.27,147.03,174.22,97.86,65.12
203.82,5.89,263.15,108.79,156.6,170.23,97.27,67.33
201.89,2.8,270.65,98.56,171.54,169.72,102.79,73.95
199.94,0.57,277.29,88.35,186.51,168.35,109.16,80.56
198.05,-0.82,283.1,78.23,201.41,166.13,116.36,87.08
196.32,-1.37,288.1,68.29,216.16,163.08,124.38,93.42
194.81,-1.12,292.31,58.6,230.67,159.22,133.18,99.51
193.62,-0.1,295.77,49.24,244.88,154.6,142.73,105.26
192.4,7.88,297.11,49.09,254.69,156.87,149.97,115.66
191.45,16.23,298.1,49.22,264.21,158.77,157.57,125.78
190.82,24.96,298.75,49.65,273.43,160.29,165.5,135.6
190.52,34.01,299.1,50.42,282.31,161.49,173.73,145.08
190.57,43.37,299.17,51.53,290.84,162.38,182.24,154.22
191.0,53.0,299.0,53.0,299.0,163.0,191.0,163.0
191.23,61.71,298.14,56.11,303.83,164.74,196.92,170.34
191.67,70.51,297.2,59.42,308.44,166.38,202.91,177.47
192.33,79.38,296.2,62.93,312.83,167.95,208.96,184.4
193.21,88.32,295.15,66.65,317.01,169.46,215.07,191.13
187.91,97.93,286.36,66.75,317.73,165.79,219.27,196.97
183.3,107.74,277.4,67.52,317.75,161.93,223.65,202.15
179.4,117.68,268.32,68.97,317.06,157.94,228.14,206.65
176.21,127.67,259.2,71.08,315.66,153.89,232.67,210.47
173.73,137.64,250.11,73.87,313.56,149.87,237.18,213.63
171.94,147.52,241.1,77.31,310.76,145.93,241.59,216.14
170.82,157.24,232.25,81.38,307.29,142.15,245.86,218.01
170.35,166.75,223.61,86.07,303.17,138.59,249.92,219.26
170.5,175.97,215.23,91.34,298.43,135.31,253.71,219.94
171.23,184.85,207.17,97.15,293.12,132.38,257.18,220.07
172.49,193.34,199.48,103.47,287.27,129.83,260.28,219.7
174.24,201.39,192.19,110.25,280.93,127.73,262.98,218.86
176.43,208.95,185.36,117.44,274.16,126.1,265.23,217.61
179.0,216.0,179.0,125.0,267.0,125.0,267.0,216.0
179.0,217.0,179.0,128.0,267.0,128.0,267.0,217.0
176.05,209.15,186.56,125.92,271.37,136.64,260.85,219.86
174.45,201.12,194.04,124.82,274.38,145.45,254.79,221.75
174.18,193.12,201.29,124.63,276.07,154.24,248.96,222.73
175.19,185.35,208.21,125.27,276.48,162.8,243.45,222.88
177.4,177.98,214.69,126.65,275.68,170.96,238.39,222.29
178.5,185.5,214.69,131.15,277.46,172.96,241.27,227.31
